y8_f801, 1, 00105751, 07176616
y8_e005, 1, 00335440, 05472744
y8_d701, 1, 00654369, 06545343
y8_d501, 1, 00402656, 06777280
y8_d912, 1, 00681472, 06885627
y8_d902, 1, 00164848, 04499016
y8_d101, 1, 00788522, 07192984
y8_f101, 1, 00450784, 08694455
y8_e015, 1, 02062640, 08503544
y8_t501, 1, 00098042, 04804148
y8_t101, 1, 00180381, 05099922
y8_e001, 1, 00508788, 04920703
y8_d904, 1, 00109325, 02972754
y8_e018, 1, 00396549, 05877763
y8_b007, 1, 01601216, 05587200
y8_b002, 1, 00231790, 05351933
y8_d301, 1, 00370110, 05554088
y8_d201, 1, 00460100, 04928428
y8_b010, 1, 00757955, 06580613
y8_b003, 1, 00284597, 04907818
y8_e019, 1, 00367047, 03000264
y8_d901, 1, 00504892, 05784919
y8_f601, 1, 00128672, 05469714
y8_d903, 1, 00024098, 04651812
y8_f901, 1, 00369783, 05622903
y8_f501, 1, 00305912, 08226094
y8_e010, 1, 00251459, 02979832
y8_title, 1, 00128608, 03925990
y8_b006, 1, 01403792, 07552558
y8_b005, 1, 01312665, 06134911
y8_e008, 1, 00438580, 04470579
y8_logo, 1, 00000000, 00480000
y8_e012, 1, 00283386, 05352414
y8_e002, 1, 00331200, 05399552
y8_d801, 1, 00271160, 06394231
y8_e004, 1, 00319871, 04455262
y8_e016, 1, 00149353, 04323264
y8_d503, 1, 02631730, 06111642
y8_d910, 1, 00070724, 05007872
y8_b004, 1, 01528198, 07699650
y8_end, 1, 00000000, 12816000
y8_e017, 1, 00307275, 05083861
y8_d601, 1, 00724836, 06796180
y8_e013, 1, 00793655, 07132054
y8_f401, 1, 00328772, 05355682
y8_b011, 1, 00817664, 05176797
y8_f301, 1, 00639640, 05490112
y8_b009, 1, 01215552, 05485952
y8_e002, 1, 00331200, 05399552
y8_b001, 1, 00550204, 06136139
y8_e007, 1, 00143372, 03485240
y8_t401, 1, 01808828, 05401031
y8_e003, 1, 00566058, 06144929
y8_b008, 1, 00939816, 05302217
y8_d920, 1, 01643520, 05832704
y8_d502, 1, 00704928, 04885504
y8_d401, 1, 00207792, 07450198
y8_e004, 1, 00319871, 04455262
y8_f701, 1, 00349512, 07973043
y8_t301, 1, 00560282, 05382620
y8_op, 1, 00000000, 07968000
y8_e011, 1, 00199194, 04629940
y8_d911, 1, 01220468, 06157687
y8_f201, 1, 00098080, 05788656
y8_e014, 1, 01406031, 06548622
